WorldRank,Company,Country,Industry
166,CNH INDUSTRIAL,Netherlands,Industrial Engineering
167,EISAI,Japan,Pharmaceuticals & Biotechnology
168,MARVELL TECHNOLOGY,US,Technology Hardware & Equipment
169,MIDEA GROUP,China,Household Goods & Home Construction
170,SYNOPSYS,US,Software & Computer Services
171,RICOH,Japan,Technology Hardware & Equipment
172,CHINA PETROLEUM & CHEMICALS,China,Oil & Gas Producers
173,BECTON DICKINSON,US,Health Care Equipment & Services
174,TWITTER,US,Software & Computer Services
175,TESLA,US,Automobiles & Parts
176,SERVIER,France,Pharmaceuticals & Biotechnology
177,MYLAN,Netherlands,Pharmaceuticals & Biotechnology
178,SYMANTEC,US,Software & Computer Services
179,BRIDGESTONE,Japan,Automobiles & Parts
180,YAMAHA MOTOR,Japan,Automobiles & Parts
181,MAHLE,Germany,Automobiles & Parts
182,ISUZU MOTORS,Japan,Industrial Engineering
183,TDK,Japan,Electronic & Electrical Equipment
184,NETAPP,US,Technology Hardware & Equipment
185,TELSTRA,Australia,Technology Hardware & Equipment
186,NETFLIX,US,General Retailers
187,AUTODESK,US,Software & Computer Services
188,AMADEUS,Spain,Software & Computer Services
189,SCHAEFFLER,Germany,Automobiles & Parts
190,PEPSICO,US,Beverages
191,ALEXION PHARMACEUTICALS,US,Pharmaceuticals & Biotechnology
192,MICHELIN,France,Automobiles & Parts
193,RAYTHEON,US,Electronic & Electrical Equipment
194,THERMO FISHER SCIENTIFIC,US,Health Care Equipment & Services
195,CADENCE DESIGN SYSTEMS,US,Software & Computer Services
196,TOKYO ELECTRON,Japan,Technology Hardware & Equipment
197,STRYKER,US,Health Care Equipment & Services
198,HELLA,Germany,Automobiles & Parts
199,NORTHROP GRUMMAN,US,Electronic & Electrical Equipment
200,CERNER,US,Software & Computer Services
201,MURATA MANUFACTURING,Japan,Electronic & Electrical Equipment
202,ELECTRICITE DE FRANCE,France,Electricity
203,FERRARI,Netherlands,Automobiles & Parts
204,UBISOFT ENTERTAINMENT,France,Software & Computer Services
205,ASAHI KASEI,Japan,Chemicals
206,WORKDAY,US,Software & Computer Services
207,THOMSON REUTERS,Canada,Support Services
208,OLYMPUS,Japan,Health Care Equipment & Services
209,TEXTRON,US,Aerospace & Defence
210,RENESAS,Japan,Electronic & Electrical Equipment
211,BIOMARIN PHARMACEUTICAL,US,Pharmaceuticals & Biotechnology
212,ANALOG DEVICES,US,Technology Hardware & Equipment
213,REGENERON PHARMACEUTICALS,US,Pharmaceuticals & Biotechnology
214,CSL,Australia,Pharmaceuticals & Biotechnology
215,ACCENTURE,Ireland,Support Services
216,BT,UK,Fixed Line Telecommunications
217,CORNING,US,Technology Hardware & Equipment
218,SCHNEIDER,France,Electronic & Electrical Equipment
219,AUTOMATIC DATA PROCESSING,US,Support Services
220,CHINA MERCHANTS BANK,China,Banks
221,KOREA ELECTRIC POWER,South Korea,Electricity
222,KONICA MINOLTA,Japan,Technology Hardware & Equipment
223,PETROBRAS,Brazil,Oil & Gas Producers
224,AUTOLIV,US,Automobiles & Parts
225,CUMMINS,US,Industrial Engineering
226,BYD,China,Electronic & Electrical Equipment
227,LG CHEM,South Korea,General Industrials
228,WHIRLPOOL,US,Household Goods & Home Construction
229,KOMATSU,Japan,Industrial Engineering
230,XILINX,US,Technology Hardware & Equipment
231,LIEBHERR-INTERNATIONAL,Switzerland,Industrial Engineering
232,THALES,France,Aerospace & Defence
233,NIPPON STEEL,Japan,Industrial Metals & Mining
234,ROYAL BANK OF SCOTLAND,UK,Banks
235,EATON CORPORATION,Ireland,Electronic & Electrical Equipment
236,CA,US,Software & Computer Services
237,ARRIS,UK,Technology Hardware & Equipment
238,CITRIX SYSTEMS,US,Software & Computer Services
239,CENTRAL JAPAN RAILWAY,Japan,Travel & Leisure
240,DASSAULT SYSTEMES,France,Software & Computer Services
241,LLOYDS BANKING,UK,Banks
242,BAXTER INTERNATIONAL,US,Health Care Equipment & Services
243,TE CONNECTIVITY,Switzerland,Electronic & Electrical Equipment
244,SHANGHAI CONSTRUCTION,China,Construction & Materials
245,MOTOROLA,US,Technology Hardware & Equipment
246,SOFTBANK,Japan,Software & Computer Services
247,MICROCHIP TECHNOLOGY,US,Technology Hardware & Equipment
248,INTESA SANPAOLO,Italy,Banks
249,NIKON,Japan,Leisure Goods
250,KIRIN,Japan,Beverages
251,ACTELION,Switzerland,Pharmaceuticals & Biotechnology
252,SAUDI BASIC INDUSTRIES,Saudi Arabia,Chemicals
253,FRESENIUS,Germany,Health Care Equipment & Services
254,KLA-TENCOR,US,Technology Hardware & Equipment
255,BAOSHAN IRON & STEEL,China,Industrial Metals & Mining
256,HYUNDAI MOBIS,South Korea,Automobiles & Parts
257,DONGFENG MOTOR,China,Automobiles & Parts
258,SHIONOGI,Japan,Pharmaceuticals & Biotechnology
259,AMAZON.COM,US,General Retailers
260,ILLUMINA,US,Pharmaceuticals & Biotechnology
261,TORAY INDUSTRIES,Japan,Chemicals
262,NINTENDO,Japan,Leisure Goods
263,JAPAN TOBACCO,Japan,Tobacco
264,MITSUBISHI MOTORS,Japan,Automobiles & Parts
